image,vehicle_type
0001_42.jpg,Car
0001_6.jpg,Car
0007_24.jpg,Car
0007_4.jpg,SUV
0009_5.jpg,Truck
0013_14.jpg,Car
0013_35.jpg,Van
0015_1.jpg,SUV
0015_30.jpg,SUV
0020_41.jpg,SUV
0020_8.jpg,SUV
0026_6.jpg,Car
0027_45.jpg,SUV
0030_37.jpg,SUV
0033_18.jpg,SUV
0035_16.jpg,SUV
0035_9.jpg,SUV
0045_21.jpg,SUV
0046_12.jpg,Car
0047_27.jpg,Truck
0050_11.jpg,Car
0052_8.jpg,Van
0060_39.jpg,Car
0080_30.jpg,SUV
0083_34.jpg,Car
0084_21.jpg,SUV
0087_18.jpg,SUV
0090_22.jpg,Car
0096_12.jpg,Car
0097_3.jpg,SUV
0100_10.jpg,Car
